Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacity #1,ArenaCapacity #2,TicketPrice #1,TicketPrice #2,Attendance #1,Attendance #2,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,CoachID,Empty3,Morale,PowerRanking,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,Empty4,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal,
1,Farm Team 1,FT1,,Division 4,Conference 2,0,0,0,2000,1000,35,15,8000,4000,0,0,0,8064839,8064839,0,12000,425000,0,10,100,58,,50,1,,False,0,True,1,0,0,,,L4,4,4,0,0,0,0,0,8,4,4,0,0,0,0,0,8,17,21,4,2,2,0,0,0,0,0,8,9,23,1,31,3,0,206,260,64,74,57,74,1,6,4,6,1,11952,10774,6197,3854,7245,3022,0,17,31,48,69,199,153,287,116,227,50,108,0
2,Farm Team 2,FT2,,Division 3,Conference 1,0,0,0,2000,1000,35,15,18000,9000,0,0,0,8205717,8205717,0,27000,956250,0,10,100,14,,50,2,,False,0,True,2,0,0,,,OTL1,6,1,0,0,3,0,0,17,11,6,0,0,0,0,0,22,54,36,9,5,4,0,0,0,0,0,23,20,50,8,43,4,0,532,396,124,197,155,167,13,21,17,14,2,23412,25822,13291,7682,18247,6555,4,54,97,151,102,379,266,489,313,590,139,276,0
3,Farm Team 3,FT3,,Division 6,Conference 2,0,0,0,2000,1000,35,15,7920,3981,0,0,0,7942174,7942174,0,11901,421144,0,10,100,41,,50,3,,False,0,True,3,0,0,,,L1,3,3,0,0,1,0,0,7,3,4,0,0,0,0,0,6,22,26,4,1,3,0,0,0,0,0,10,15,19,5,27,4,1,198,200,58,59,70,61,8,8,6,7,1,11647,9086,5544,3183,6013,2601,0,22,42,64,58,172,115,225,121,238,57,111,0
4,Farm Team 4,FT4,,Division 1,Conference 1,0,0,0,2000,1000,35,15,3921,2000,0,0,0,8473230,8473230,0,5921,209044,0,10,100,37,,50,4,,False,0,True,4,0,0,,,OTL1,1,3,0,0,1,0,0,5,1,4,0,0,0,0,0,2,10,15,2,1,1,0,0,0,0,0,3,5,21,4,18,2,0,154,150,41,54,61,37,2,2,8,0,0,7623,6954,3947,2423,4704,1883,0,10,19,29,38,123,78,181,67,169,32,76,0
5,Farm Team 5,FT5,,Division 6,Conference 2,0,0,0,2000,1000,35,15,0,0,0,0,0,7779540,7779540,0,0,0,0,10,100,38,,50,5,,True,0,True,5,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Farm Team 6,FT6,,Division 3,Conference 1,0,0,0,2000,1000,35,15,7956,4000,0,0,0,9245382,9245382,0,11956,423075,0,10,100,10,,50,6,,False,0,True,6,0,0,,,L1,3,2,0,0,2,0,0,7,3,4,0,0,0,0,0,6,21,18,4,1,3,0,0,0,0,0,9,11,22,3,38,8,1,155,180,58,42,56,46,11,10,7,4,0,10707,9776,5533,3236,6664,2724,0,21,40,61,89,191,114,219,104,195,46,107,0
7,Farm Team 7,FT7,,Division 5,Conference 2,0,0,0,2000,1000,35,15,5995,3000,0,0,0,7303256,7303256,0,8995,318531,0,10,100,67,,50,7,,False,0,True,7,0,0,,,L1,2,4,0,0,0,0,0,6,2,4,0,0,0,0,0,4,15,24,3,1,2,0,0,0,0,0,6,11,20,5,17,4,0,132,209,58,38,37,57,0,6,4,5,0,8806,7943,4851,2839,5296,2244,0,15,27,42,36,149,118,208,85,184,40,101,0
8,Farm Team 8,FT8,,Division 2,Conference 1,0,0,0,2000,1000,35,15,0,0,0,0,0,8039088,8039088,0,0,0,0,10,100,4,,50,8,,True,0,True,8,0,0,,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Farm Team 9,FT9,,Division 4,Conference 2,0,0,0,2000,1000,35,15,3914,2000,0,0,0,8233680,8233680,0,5914,208738,0,10,100,28,,50,9,,False,0,True,9,0,0,,,L3,0,3,0,0,1,0,0,4,0,4,0,0,0,0,0,0,8,12,2,0,2,0,0,0,0,0,4,6,13,2,11,0,0,135,117,40,49,50,35,1,4,4,0,0,5551,5903,3069,1689,4020,1558,0,8,16,24,29,98,49,108,65,143,29,56,0
10,Farm Team 10,F10,,Division 1,Conference 1,0,0,0,2000,1000,35,15,3959,2000,0,0,0,8113438,8113438,0,5959,210706,0,10,100,29,,50,10,,False,0,True,10,0,0,,,L4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,2,10,2,0,2,0,0,0,0,0,1,4,22,0,5,1,0,156,101,37,38,69,49,0,1,1,0,0,5072,6285,3043,1759,4434,1610,0,2,3,5,17,96,57,121,87,179,20,44,0
